% 
%                                                                                                                                                                                                                                                                
% 
%   caldt      vwretd      vwretx     vwindd     vwindx

19251231    -99.0000    -99.0000       1.48      12.28
19260130      0.0003     -0.0019       1.48      12.26
19260227     -0.0319     -0.0356       1.43      11.82
19260331     -0.0647     -0.0715       1.34      10.98
19260430      0.0370      0.0345       1.39      11.36
19260528      0.0145      0.0099       1.41      11.47
19260630      0.0556      0.0492       1.49      12.03
19260731      0.0287      0.0263       1.53      12.35
19260831      0.0277      0.0240       1.57      12.65
19260930      0.0025     -0.0026       1.58      12.61
19261030     -0.0279     -0.0303       1.53      12.23
19261130      0.0276      0.0211       1.58      12.49
19261231      0.0293      0.0228       1.62      12.77
19270131      0.0018     -0.0008       1.63      12.76
19270228      0.0452      0.0406       1.70      13.28
19270331      0.0067      0.0015       1.71      13.30
19270430      0.0068      0.0046       1.72      13.36
19270531      0.0571      0.0524       1.82      14.06
19270630     -0.0203     -0.0262       1.78      13.69
19270730      0.0757      0.0734       1.92      14.70
19270831      0.0255      0.0216       1.97      15.02
19270930      0.0469      0.0413       2.06      15.64
19271031     -0.0395     -0.0416       1.98      14.98
19271130      0.0693      0.0641       2.12      15.94
19271231      0.0231      0.0180       2.16      16.23
19280131     -0.0029     -0.0049       2.16      16.15
19280229     -0.0136     -0.0175       2.13      15.87
19280331      0.0898      0.0855       2.32      17.23
19280430      0.0429      0.0410       2.42      17.93
19280531      0.0195      0.0149       2.47      18.20
19280630     -0.0460     -0.0499       2.35      17.29
19280731      0.0103      0.0082       2.38      17.43
19280831      0.0680      0.0644       2.54      18.56
19280929      0.0310      0.0274       2.62      19.06
19281031      0.0208      0.0191       2.67      19.43
19281130      0.1207      0.1157       2.99      21.68
19281231      0.0038     -0.0000       3.01      21.68
19290131      0.0532      0.0514       3.17      22.79
19290228     -0.0010     -0.0044       3.16      22.69
19290328     -0.0074     -0.0108       3.14      22.44
19290430      0.0178      0.0163       3.19      22.81
19290531     -0.0558     -0.0597       3.02      21.45
19290629      0.0990      0.0954       3.31      23.49
19290731      0.0456      0.0437       3.47      24.52
19290830      0.0842      0.0809       3.76      26.50
19290930     -0.0495     -0.0522       3.57      25.12
19291031     -0.1957     -0.1975       2.87      20.16
19291127     -0.1227     -0.1272       2.52      17.60
19291231      0.0178      0.0126       2.57      17.82
19300131      0.0555      0.0528       2.71      18.76
19300228      0.0264      0.0224       2.78      19.18
19300331      0.0764      0.0724       2.99      20.57
19300430     -0.0218     -0.0239       2.93      20.08
19300529     -0.0128     -0.0166       2.89      19.74
19300630     -0.1574     -0.1615       2.43      16.56
19300731      0.0409      0.0383       2.53      17.19
19300829      0.0031     -0.0013       2.54      17.17
19300930     -0.1244     -0.1287       2.23      14.96
19301031     -0.0840     -0.0867       2.04      13.66
19301129     -0.0259     -0.0307       1.99      13.24
19301231     -0.0775     -0.0835       1.83      12.14
19310131      0.0621      0.0591       1.95      12.85
19310228      0.1090      0.1038       2.16      14.19
19310331     -0.0644     -0.0689       2.02      13.21
19310430     -0.0985     -0.1011       1.82      11.87
19310529     -0.1330     -0.1380       1.58      10.24
19310630      0.1377      0.1316       1.80      11.58
19310731     -0.0638     -0.0664       1.68      10.81
19310831      0.0008     -0.0041       1.68      10.77
19310930     -0.2898     -0.2945       1.19       7.60
19311031      0.0807      0.0758       1.29       8.17
19311130     -0.0894     -0.0956       1.18       7.39
19311231     -0.1349     -0.1420       1.02       6.34
19320130     -0.0107     -0.0139       1.01       6.25
19320229      0.0569      0.0496       1.06       6.56
19320331     -0.1093     -0.1157       0.95       5.81
19320430     -0.1800     -0.1829       0.78       4.74
19320531     -0.2069     -0.2142       0.62       3.73
19320630     -0.0094     -0.0197       0.61       3.65
19320730      0.3314      0.3285       0.81       4.85
19320831      0.3653      0.3588       1.11       6.60
19320930     -0.0315     -0.0368       1.07       6.35
19321031     -0.1306     -0.1321       0.93       5.51
19321130     -0.0556     -0.0612       0.88       5.18
19321231      0.0448      0.0365       0.92       5.37
19330131      0.0097      0.0076       0.93       5.41
19330228     -0.1329     -0.1384       0.81       4.66
19330331      0.0160      0.0091       0.82       4.70
19330429      0.3827      0.3806       1.13       6.49
19330531      0.2121      0.2083       1.37       7.84
19330630      0.1337      0.1295       1.56       8.86
19330731     -0.0961     -0.0971       1.41       8.00
19330831      0.1217      0.1190       1.58       8.95
19330930     -0.1057     -0.1093       1.41       7.97
19331031     -0.0825     -0.0840       1.30       7.30
19331129      0.0996      0.0946       1.42       7.99
19331230      0.0201      0.0158       1.45       8.12
19340131      0.1299      0.1280       1.64       9.16
19340228     -0.0234     -0.0268       1.60       8.91
19340331      0.0049      0.0009       1.61       8.92
19340430     -0.0180     -0.0196       1.58       8.75
19340531     -0.0707     -0.0737       1.47       8.10
19340630      0.0252      0.0208       1.51       8.27
19340731     -0.1082     -0.1102       1.34       7.36
19340831      0.0595      0.0543       1.42       7.76
19340929     -0.0029     -0.0072       1.42       7.70
19341031     -0.0203     -0.0219       1.39       7.53
19341130      0.0841      0.0794       1.51       8.13
19341231      0.0041     -0.0012       1.51       8.12
19350131     -0.0321     -0.0341       1.47       7.84
19350228     -0.0197     -0.0239       1.44       7.66
19350330     -0.0374     -0.0423       1.38       7.33
19350430      0.0895      0.0878       1.51       7.98
19350531      0.0348      0.0310       1.56       8.22
19350629      0.0549      0.0503       1.65       8.64
19350731      0.0741      0.0723       1.77       9.26
19350831      0.0279      0.0242       1.82       9.49
19350930      0.0241      0.0198       1.86       9.67
19351031      0.0705      0.0688       1.99      10.34
19351130      0.0518      0.0467       2.09      10.82
19351231      0.0461      0.0418       2.19      11.27
19360131      0.0660      0.0640       2.34      12.00
19360229      0.0261      0.0230       2.40      12.27
19360331      0.0087      0.0054       2.42      12.34
19360430     -0.0785     -0.0800       2.23      11.35
19360529      0.0505      0.0460       2.34      11.87
19360630      0.0260      0.0221       2.40      12.14
19360731      0.0639      0.0622       2.55      12.89
19360831      0.0113      0.0070       2.58      12.98
19360930      0.0147      0.0108       2.62      13.12
19361031      0.0700      0.0683       2.81      14.02
19361130      0.0342      0.0253       2.90      14.37
19361231      0.0012     -0.0049       2.90      14.30
19370130      0.0327      0.0312       3.00      14.75
19370227      0.0133      0.0104       3.04      14.90
19370331     -0.0042     -0.0077       3.03      14.79
19370430     -0.0745     -0.0758       2.80      13.67
19370528     -0.0081     -0.0129       2.78      13.49
19370630     -0.0407     -0.0453       2.67      12.88
19370731      0.0842      0.0825       2.89      13.94
19370831     -0.0454     -0.0498       2.76      13.25
19370930     -0.1350     -0.1396       2.39      11.40
19371030     -0.0948     -0.0965       2.16      10.30
19371130     -0.0834     -0.0954       1.98       9.32
19371231     -0.0408     -0.0497       1.90       8.85
19380131      0.0084      0.0065       1.92       8.91
